run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31525135901757
1,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.033754001837224
2,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.938399464124814
3,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61717431107536
4,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.127317217178643
5,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171878913184628
6,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03218473494052887
7,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031846784055233
8,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03304372588172555
9,N6_th0.90_archgru_h48_s11,gru,6,0.9,48,11,4,-0.012599093343134339,0.9874009066568656,-0.19999999999999998,0.8,0.022750081391633547,0.9772499186083665,-0.03457545522059913,0.9654245447794008,0.5575886078345591,0.4424113921654409,0.9066507027678274,0.09334929723217256,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.946843853820598,1.0,0.9401993355481728,0.4850498338870432,0.21926910299003322,0.07286724697429235,0.09879002421414237,6.5564352329820395
10,N6_th0.90_archgru_h48_s17,gru,6,0.9,48,17,4,-0.9302015341372596,0.06979846586274041,-0.7999999999999999,0.20000000000000007,-0.41132945773755036,0.5886705422624496,-0.9473226382636705,0.05267736173632942,-0.5659937522752833,0.43400624772471685,-0.5312565402528133,0.4687434597471867,-1.0,-0.6820075151672474,-1.0,1.0,-1.0,-0.9473226382636705,-1.0,1.0,-1.0,1.0,0.07641196013289037,0.5980066445182725,0.16279069767441862,0.4584717607973422,0.4717607973421927,-0.034941059460183554,0.052650464335520494,6.639945863978937
11,N6_th0.90_archgru_h48_s23,gru,6,0.9,48,23,4,0.5514057078971366,0.4485942921028634,0.39999999999999997,0.6,0.04267661535570549,0.9573233846442946,0.6749070579868478,0.3250929420131521,0.8473322844934457,0.15266771550655434,0.7325330844257767,0.2674669155742233,-1.0,1.0,-1.0,1.0,0.6749070579868476,1.0,-0.9999999999999999,1.0,-1.0,1.0,0.4950166112956811,0.9634551495016611,0.46179401993355484,0.2159468438538206,0.2292358803986711,-0.046950509183143196,-0.12620482594382926,6.461682863999158
12,N6_th0.90_archrbm_h48_s11,rbm,6,0.9,48,11,4,-0.2097367986657392,0.7902632013342608,-0.19999999999999998,0.8,-0.11186269282513633,0.8881373071748637,-0.18038387700846684,0.8196161229915331,0.971950599844978,0.028049400155021997,0.34178548128470704,0.658214518715293,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,1.0,0.7408637873754153,0.9269102990033222,0.9003322259136213,0.06976744186046512,0.6345514950166113,0.051748973549384514,0.10765871319888691,5.912791033042595
13,N6_th0.90_archrbm_h48_s17,rbm,6,0.9,48,17,4,-0.951129150517825,0.048870849482175016,-1.0,0.0,-0.35734255088834305,0.642657449111657,-0.9999957007718752,4.2992281248377395e-06,0.97882808382694,0.021171916173059913,0.6681039044843681,0.3318960955156318,-1.0,-0.8262360406721707,-1.0,1.0,-1.0,-0.999995700771875,-1.0,1.0,-0.9999999999999999,1.0,0.04318936877076412,0.6677740863787376,0.046511627906976744,0.08305647840531562,0.3122923588039867,-0.025272787786259007,0.05403775888787657,5.817468344932422
14,N6_th0.90_archrbm_h48_s23,rbm,6,0.9,48,23,4,0.5347191320687357,0.46528086793126433,0.39999999999999997,0.6,0.0862201427399551,0.9137798572600448,0.6199885419441353,0.38001145805586467,0.9567955117823951,0.04320448821760481,-0.47121540960141883,0.5287845903985811,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.47840531561461797,0.9169435215946844,0.49169435215946844,0.14950166112956811,0.6146179401993356,-0.04839650240485931,-0.11813141500995028,5.827069798018783
15,N6_th0.90_archindependent_h0_s11,independent,6,0.9,0,11,4,-0.2083820311240748,0.7916179688759253,-0.19999999999999998,0.8,-0.10255576830021328,0.8974442316997868,-0.1860070490443693,0.8139929509556307,0.9689473368388094,0.031052663161190708,0.2535549363244281,0.746445063675572,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7408637873754153,0.9601328903654485,0.9003322259136213,0.06976744186046512,0.6744186046511628,0.05195755491803046,0.10664925304767611,0.8189832589123398
16,N6_th0.90_archindependent_h0_s17,independent,6,0.9,0,17,4,-0.9496405472236747,0.05035945277632514,-1.0,0.0,-0.3529316699539551,0.6470683300460449,-0.9999668099840857,3.3190015914286164e-05,0.9778817477324045,0.02211825226759556,0.6520223245526434,0.34797767544735647,-1.0,-0.8227920155336514,-1.0,1.0,-1.0,-0.9999668099840855,-0.9999999999999998,1.0,-1.0,1.0,0.04318936877076412,0.6677740863787376,0.046511627906976744,0.08305647840531562,0.3122923588039867,-0.025672361616958753,0.05406812525546058,0.8241347831208259
17,N6_th0.90_archindependent_h0_s23,independent,6,0.9,0,23,4,0.5441944199174493,0.4558055800825507,0.39999999999999997,0.6,0.11135216941597413,0.888647830584026,0.613377869438589,0.38662213056141104,0.9549327082236448,0.045067291776355045,-0.5522059242392271,0.4477940757607728,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.47840531561461797,0.9169435215946844,0.49169435215946844,0.14950166112956811,0.45514950166112955,-0.04706354489598234,-0.11565577346131362,0.8189097330905497
18,N6_th1.80_archgru_h48_s11,gru,6,1.8,48,11,4,0.60876599931021,0.39123400068978986,0.39999999999999997,0.6,0.2675209753874939,0.7324790246125061,0.5678947168474145,0.43210528315258534,-0.03641587088464937,0.9635841291153506,0.3095009000686076,0.6904990999313925,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.42857142857142855,0.6511627906976745,0.6910299003322259,1.0,0.7475083056478405,0.09059272282104022,0.06901709688376746,6.709189431043342
19,N6_th1.80_archgru_h48_s17,gru,6,1.8,48,17,4,-0.9627084041029301,0.037291595897069874,-0.7999999999999999,0.20000000000000007,-0.6029251666271426,0.3970748333728573,-0.9834168703949699,0.016583129605030056,-0.5985848221289717,0.4014151778710282,-0.6760617386669223,0.3239382613330777,-1.0,-0.21276746058831875,-1.0,0.9999999999999996,-1.0,-0.9834168703949698,-1.0,1.0,-1.0,1.0,0.07641196013289037,0.44518272425249167,0.16279069767441862,0.42857142857142855,0.4152823920265781,-0.05768963188198514,0.0709630153208535,7.511720668990165
20,N6_th1.80_archgru_h48_s23,gru,6,1.8,48,23,4,0.8104287073209324,0.18957129267906758,0.7999999999999999,0.20000000000000007,0.22071759738305743,0.7792824026169425,0.8092362824848017,0.19076371751519838,-0.4318841229622863,0.5681158770377137,-0.8574796596326031,0.1425203403673969,-1.0,1.0,-1.0,1.0,0.8092362824848017,1.0,-1.0,1.0,-1.0,1.0,0.33554817275747506,0.8438538205980066,0.38870431893687707,0.49169435215946844,0.2059800664451827,-0.05529287756750052,-0.1400193323733311,6.534828006057069
21,N6_th1.80_archrbm_h48_s11,rbm,6,1.8,48,11,4,0.6324905653440764,0.36750943465592356,0.19999999999999998,0.8,0.18560014189818022,0.8143998581018197,0.6207778233218147,0.37922217667818536,0.9897757267422488,0.010224273257751104,0.8160499372949405,0.18395006270505965,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7702387900704116,1.0,-1.0,1.0,0.4318936877076412,0.7973421926910299,0.6312292358803987,0.03986710963455149,0.19933554817275748,0.085968532107626,0.06988189554405604,5.970408277120441
22,N6_th1.80_archrbm_h48_s17,rbm,6,1.8,48,17,4,-0.6412013964236352,0.35879860357636484,-0.39999999999999997,0.6,0.21640747755811568,0.7835925224418843,-0.8194932172319495,0.18050678276805066,0.990422355604162,0.00957764439583797,0.9554897187262323,0.04451028127376766,-1.0,1.0,-1.0,1.0,-1.0,-0.8194932172319489,0.7866654541104136,1.0,-1.0,1.0,0.39867109634551495,0.7142857142857143,0.4684385382059801,0.03986710963455149,0.09302325581395349,-0.050861341326786456,0.035829541090800957,5.870709960814565
23,N6_th1.80_archrbm_h48_s23,rbm,6,1.8,48,23,4,0.8461282937291403,0.15387170627085967,0.7999999999999999,0.20000000000000007,0.22105811519681312,0.7789418848031868,0.849270350968221,0.1507296490317791,0.9860265938576686,0.013973406142331335,0.5567616395283712,0.4432383604716288,-1.0,1.0,-1.0,1.0,0.8492703509682208,1.0,0.6769414250898016,1.0,-1.0,1.0,0.2026578073089701,0.8438538205980066,0.4186046511627907,0.06976744186046512,0.574750830564784,-0.05331689612525249,-0.14374802684301555,6.381854970008135
24,N6_th1.80_archindependent_h0_s11,independent,6,1.8,0,11,4,0.6390423492883195,0.3609576507116805,0.19999999999999998,0.8,0.20636668581557302,0.793633314184427,0.621220277255713,0.37877972274428684,0.9874764343662319,0.012523565633768108,0.7841121346132292,0.21588786538677085,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7164671084816073,1.0,-1.0,1.0,0.4318936877076412,0.7541528239202658,0.6312292358803987,0.03986710963455149,0.19933554817275748,0.08706665028694145,0.06893838810948653,0.8377729840576649
25,N6_th1.80_archindependent_h0_s17,independent,6,1.8,0,17,4,-0.6382782351084296,0.36172176489157026,-0.39999999999999997,0.6,0.2220053682004679,0.7779946317995321,-0.8198420888659156,0.18015791113408453,0.9889040016268159,0.011095998373184202,0.9352815478434022,0.06471845215659777,-1.0,1.0,-1.0,1.0,-1.0,-0.8198420888659145,0.749368719702958,1.0,-1.0,1.0,0.39867109634551495,0.7142857142857143,0.4684385382059801,0.03986710963455149,0.15946843853820597,-0.050847342818159565,0.03550367900102347,0.8417438031174242
