snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,0.7037775915870146,0.8710972261428833,0.8904679417610168,0.0708642632345064,0.06099760135641614,5.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,0.8802898120880127,0.906223714351654,0.05578994882503799,0.04803307255487465,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.16275004786805286
40,3.333333333333333,0.7037775915870146,0.8905882453918457,0.870278000831604,0.05442222919392706,0.046669831512147444,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.1627500478680528
60,5.0,0.7037775915870146,0.9079665422439576,0.8418113589286804,0.057477678492397044,0.057646293974004774,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.16275004786805275
0,0.0,0.7037775915870146,0.8839505672454834,0.8638056516647339,0.0566867234928362,0.05627148944216274,6.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,0.9163639545440674,0.9356335997581482,0.07121581469040568,0.06828258842705952,6.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.16275004786805286
40,3.333333333333333,0.7037775915870146,0.9303716397285462,0.9490975141525269,0.0837970068411192,0.07415080849688542,7.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.1627500478680528
60,5.0,0.7037775915870146,0.9631544733047486,0.8812809586524963,0.08070677110813385,0.07281528211009586,6.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.16275004786805275
0,0.0,0.7037775915870146,0.8653841519355774,0.8642099499702454,0.07287107263716233,0.06243112766789628,7.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,0.8780724811553955,0.8913053870201111,0.07745348857226964,0.06498944687903908,6.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.16275004786805286
40,3.333333333333333,0.7037775915870146,0.9166720724105835,0.8566212058067322,0.0640311136893009,0.05943027905443288,5.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.1627500478680528
60,5.0,0.7037775915870146,0.8980962944030761,0.9633738398551941,0.0813755819131283,0.06708836182019716,6.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.16275004786805275
0,0.0,0.7037775915870146,1.3791013908386232,1.4222431182861328,0.6017766190434763,0.2965454673225305,2.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.4195493412017823,1.4734400510787964,0.6017182931929798,0.3033924548921685,2.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.16275004786805286
40,3.333333333333333,0.7037775915870146,1.4369592475891113,1.4208027124404907,0.6017389602752903,0.30797722908454217,2.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.1627500478680528
60,5.0,0.7037775915870146,1.464653067588806,1.3539013862609863,0.6019275103028201,0.31552137164311445,2.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.16275004786805275
0,0.0,0.7037775915870146,1.4367286443710328,1.389697790145874,0.6017546235508152,0.3092898236649684,2.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.4534807777404786,1.502566933631897,0.6017410882858458,0.31369956707138114,2.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.16275004786805286
40,3.333333333333333,0.7037775915870146,1.4483256912231446,1.481628179550171,0.6017539556545085,0.310758049850818,2.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.1627500478680528
60,5.0,0.7037775915870146,1.5145502853393555,1.3888626098632812,0.6029062827681883,0.3255215454390732,2.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.16275004786805275
0,0.0,0.7037775915870146,1.3682365703582764,1.3758845329284668,0.6025703997260271,0.2901355754637218,2.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.3923930740356445,1.4193912744522095,0.601728232109784,0.29792803659419986,2.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.16275004786805286
40,3.333333333333333,0.7037775915870146,1.4667808246612548,1.3784971237182617,0.6031550768389967,0.3143173155459489,2.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.1627500478680528
60,5.0,0.7037775915870146,1.4061708736419678,1.5064663887023926,0.6016907080790038,0.3014267666543655,2.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.16275004786805275
0,0.0,0.7037775915870146,1.3951911277195899,1.4391669606918962,0.6185907726650801,0.3056908292552426,1.0,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.436274245487407,1.4910925241829531,0.6184144937629897,0.3157194594449372,1.0,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,0.16275004786805286
