run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.32126351003535
1,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.781443892978132
2,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.728013423969969
3,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.277128312038258
4,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8926982381381094
5,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0732735469937325
6,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03175651002675295
7,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030638604890555143
8,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03044047183357179
9,N6_th0.90_archgru_h48_s11,gru,6,0.9,48,11,4,0.010941702659401418,0.9890582973405986,0.39999999999999997,0.6,-0.27069579052072296,0.729304209479277,0.4337549226766464,0.5662450773233536,0.7825085503527592,0.21749144964724065,0.9198815827825585,0.08011841721744162,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7653408345113241,1.0,1.0,0.7142857142857143,0.7242524916943521,0.3122923588039867,0.08305647840531562,0.04292655716366478,-0.016085690370309155,6.439928922103718
10,N6_th0.90_archgru_h48_s17,gru,6,0.9,48,17,4,0.5857294217995049,0.4142705782004952,0.39999999999999997,0.6,0.05969779682894278,0.9403022031710573,0.9555925310017682,0.04440746899823189,0.8383328217175744,0.16166717828242572,0.9208769707392529,0.07912302926074721,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.5481727574750831,0.9235880398671097,0.046511627906976744,0.22259136212624583,0.07308970099667775,-0.05733496909024028,-0.013582642346323344,6.6090630299877375
11,N6_th0.90_archgru_h48_s23,gru,6,0.9,48,23,4,0.8275004929089047,0.1724995070910953,1.0,0.0,0.5368566598525858,0.4631433401474143,0.8085172156438367,0.19148278435616328,0.9277336883720791,0.07226631162792074,0.5362985277486468,0.46370147225135305,0.5617020167070123,1.0,-0.079079358312622,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.2292358803986711,0.5581395348837209,0.38205980066445183,0.12624584717607973,0.3920265780730897,-0.00510847555978414,0.0015685484730334539,6.47608262905851
12,N6_th0.90_archrbm_h48_s11,rbm,6,0.9,48,11,4,-0.3048697110544617,0.6951302889455384,-0.19999999999999998,0.8,-0.5011413856487692,0.4988586143512308,0.2251266638838656,0.7748733361161344,-0.11281138897436457,0.8871886110256355,0.12650884423094244,0.8734911557690577,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.8571428571428571,0.5083056478405316,0.8372093023255814,0.9601328903654485,0.9069767441860465,0.037677926822922106,0.031748012134257056,5.864194615976885
13,N6_th0.90_archrbm_h48_s17,rbm,6,0.9,48,17,4,0.17226318927650955,0.8277368107234904,0.39999999999999997,0.6,-0.4111695255797496,0.5888304744202504,0.9994417626649943,0.0005582373350057068,-0.13225959232669734,0.8677404076733026,-0.2229441844664072,0.7770558155335927,-1.0,1.0,-1.0,1.0,0.9994417626649941,1.0,-1.0,1.0,-1.0,1.0,0.8438538205980066,0.654485049833887,0.046511627906976744,0.9634551495016611,0.6644518272425249,-0.029946276131316077,-0.04157748468398604,5.72838051407598
