run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7042300470639
1,N6_th0.00_archmade_h48_s17,made,6,0.0,48,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.559418983059004
2,N6_th0.00_archmade_h48_s23,made,6,0.0,48,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.674239606130868
3,N6_th0.00_archmade_h48_s29,made,6,0.0,48,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.535028985003009
4,N6_th0.80_archmade_h48_s11,made,6,0.8,48,11,6,0.5108146384947493,0.30042188141836007,0.48571428571428577,0.3287230320699709,-0.5377422305267687,0.271135229081365,0.7306775834397384,0.09903425405414616,0.42066763503261406,0.40621948464352153,0.44551634440144455,0.37593959758001255,-0.5397406483780929,0.9695425357928146,-0.9713831654919768,0.666794528341329,-1.0,1.0,-0.5365916348096195,0.9653462547608671,-0.6485716806045302,0.9756251082158083,0.24584717607973422,0.3122923588039867,0.18604651162790697,0.38205980066445183,0.3289036544850498,0.03594311636044881,0.12608174648959705,7.367000820115209
5,N6_th0.80_archmade_h48_s17,made,6,0.8,48,17,6,-0.21350200686784737,0.6846130321033468,-0.14285714285714288,0.7871720116618075,-0.3974996553465583,0.4351541774816367,-0.1582986933390706,0.7645353220200907,-0.35398883915050744,0.49119557539085934,-0.39509921188441277,0.4381893448072437,-0.9994791850199168,0.6465208759017408,-0.9419855781466814,0.9999132886150388,-1.0,1.0,-0.9517267050560515,0.925293535566606,-0.9990310860998881,0.7944870913215922,0.6511627906976745,0.4119601328903654,0.7906976744186046,0.5282392026578073,0.4053156146179402,-0.1032756313869693,-0.09845731731965485,7.368145955028012
6,N6_th0.80_archmade_h48_s23,made,6,0.8,48,23,6,0.49799127080405303,0.3147628425375732,0.48571428571428577,0.3287230320699709,-0.3987375323633095,0.4335916645108742,0.6302066247077877,0.1798366173081233,0.3043571783827066,0.5575610361196852,0.018894112911665244,0.9716622031135942,-0.7577953690914111,0.9895564867090008,-0.9975132118147976,0.9160629402501912,-1.0,1.0,-0.8784039161485062,0.9340939569654712,-0.991768611366548,0.8685236590116889,0.33222591362126247,0.4318936877076412,0.2823920265780731,0.5083056478405316,0.9667774086378738,-0.0025148372326810955,0.11649043211219559,7.432677872013301
7,N6_th0.80_archmade_h48_s29,made,6,0.8,48,29,6,0.5987356743534,0.20921519027761806,0.3142857142857143,0.5440932944606414,-0.0720407782159992,0.8921257739470317,0.6230073995557259,0.1863953921908249,0.5387756722724087,0.27003418389820966,0.51750373630267,0.2930407636521418,0.04595283594166198,0.9290548193870809,-0.9873408495311932,0.9782990775678304,-1.0,1.0,-0.6429975630966497,0.9702021648435225,-0.9583978422028423,0.9937858986691596,0.2292358803986711,0.8305647840531561,0.2724252491694352,0.2823920265780731,0.3388704318936877,-0.01079039135582519,-0.019628726224672606,7.3776439351495355
8,N6_th1.20_archmade_h48_s11,made,6,1.2,48,11,6,0.7157558375272084,0.1097093986937786,0.7714285714285715,0.07239650145772594,-0.46507090115651917,0.3526889601755665,0.8531701103184548,0.030755770748387364,0.5909617729166567,0.21674984942959236,0.6467392183708165,0.16514750163024136,-0.11605616904354106,0.9554819578047486,-0.9999708485735664,0.7607352925468324,-0.9999999999999999,1.0,-0.30224733054902214,0.9999862340324949,-0.23203586044908245,0.9956406924668008,0.10299003322259136,0.3687707641196013,0.06312292358803986,0.21926910299003322,0.1362126245847176,0.021302204713599213,0.1059620002515673,7.3237464220728725
9,N6_th1.20_archmade_h48_s17,made,6,1.2,48,17,6,0.1191410927890294,0.8221339408937693,0.2,0.704,-0.35893005596328004,0.4847255365032468,0.15884980115359443,0.7637294473828471,-0.2788384756182083,0.5925822571601936,-0.37954315979410125,0.45802242763327355,-0.8571377534204412,0.8724949007143475,-0.9693883677480533,0.9382284523606731,-1.0,1.0,-0.9597256253601973,0.9366598376287156,-0.9950457973783176,0.7793017030472115,0.8006644518272426,0.4717607973421927,0.8205980066445183,0.5647840531561462,0.44518272425249167,-0.10289407209352605,-0.11570609749451427,7.3853530921041965
