snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,1.0084901620272664,1.8309973526000975,1.8177850246429443,0.6738352574093953,0.4634912854968941,9.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.22807231345757034
18,1.2,1.0084901620272682,1.8238458251953125,1.7760757207870483,0.6722362840624068,0.4638223788969898,8.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.22807231345756954
36,2.4,1.0084901620272673,1.9044329166412353,1.9128751754760742,0.7699445117992754,0.49023487852144065,10.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.2280723134575699
54,3.6,1.0084901620272673,1.8504982089996338,1.80929696559906,0.6600287408357746,0.45788382066989386,8.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.22807231345757017
72,4.8,1.0084901620272673,1.9690999603271484,2.0143284797668457,0.8365585188862443,0.5220471956910487,10.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.22807231345757004
90,6.0,1.0084901620272664,1.9866695070266724,2.0273218154907227,0.8267148931987591,0.5259720684893779,12.0,N6_th0.00_archmade_h48_s11,made,6,0.0,48,11,0.2280723134575699
0,0.0,1.0084901620272664,1.8355655288696289,1.7528109550476074,0.6696176797072764,0.46828273447360924,9.0,N6_th0.00_archmade_h48_s17,made,6,0.0,48,17,0.22807231345757034
18,1.2,1.0084901620272682,1.8613695859909059,1.8701821565628052,0.6732600371162146,0.4638178539910581,9.0,N6_th0.00_archmade_h48_s17,made,6,0.0,48,17,0.22807231345756954
36,2.4,1.0084901620272673,2.0065673923492433,1.9673082828521729,0.81558568955299,0.5027218786740961,8.0,N6_th0.00_archmade_h48_s17,made,6,0.0,48,17,0.2280723134575699
54,3.6,1.0084901620272673,2.002199535369873,1.9625619649887085,0.7993452204998934,0.5179146447444198,10.0,N6_th0.00_archmade_h48_s17,made,6,0.0,48,17,0.22807231345757017
