run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.13493753806688
1,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.313133925898001
2,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.287405256880447
3,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.413276880979538
4,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,6,0.7182450847702598,0.10789507416529472,0.8285714285714287,0.04156268221574334,-0.27573931995409073,0.5968735498482327,0.8110051075914271,0.050203243199806395,0.9490474377877977,0.0038281048004136834,0.8351445749475775,0.038525803161530835,0.19245318973591874,0.9985714152198534,-0.9841240172604584,0.9163016390082702,0.6329140781116676,1.0,0.6839860743044356,0.9996979992675524,0.011677030580929965,0.9999973323965898,0.0664451827242525,0.6079734219269103,0.07641196013289037,0.006644518272425249,0.03322259136212625,0.04139284685347441,0.033800971191229726,8.13470425689593
5,N6_th0.80_archrbm_h48_s17,rbm,6,0.8,48,17,6,0.18339780330351715,0.7279875650673774,-0.08571428571428573,0.8717434402332361,-0.6943928646989682,0.12582238232581527,0.4330131286320747,0.3910753678749862,0.9591661136482194,0.0024670660727257633,0.8049801629194046,0.05334053620982296,-0.862166423109988,0.9483823481447674,-0.996273238384568,0.9197202287907571,-1.0,1.0,0.837783910576178,0.9989322125580641,0.43095189680045715,0.9999999999999999,0.7308970099667774,0.17940199335548174,0.49169435215946844,0.009966777408637873,0.04983388704318937,-0.04492103272700639,-0.043301888262627514,8.153296910924837
6,N6_th0.80_archrbm_h48_s23,rbm,6,0.8,48,23,6,0.636553813379673,0.17413532356129013,0.48571428571428577,0.3287230320699709,0.009375645526501874,0.9859369437826613,0.6451613544785029,0.16652674721884642,0.953489424930454,0.003194543770732747,0.7148015955390306,0.11040844242495455,-0.9551385301971484,0.9805502316116348,-0.9594467647995286,0.9593131307078473,-1.0,1.0,0.8132651225014919,0.9999463819077624,0.028400283486481874,0.9993942144617374,0.16611295681063123,0.9867109634551495,0.2591362126245847,0.0033222591362126247,0.11295681063122924,0.0021159113254063337,0.07610292025994708,8.261489785974845
7,N6_th0.80_archrbm_h48_s29,rbm,6,0.8,48,29,6,0.5376481291257906,0.2712355718367404,0.6,0.20799999999999982,-0.2946773671288993,0.5707780671621444,0.6273245303900613,0.18245061844700494,0.9489275499535,0.003845984165032596,0.9178975803732835,0.009834492667706961,-0.41985106576742387,0.9382917080137453,-0.8585103916298681,0.9246965913113362,-1.0,1.0,0.8016351682315049,0.9983307061470525,0.823706892869736,0.9998432892938915,0.3023255813953488,0.5880398671096345,0.21926910299003322,0.0033222591362126247,0.013289036544850499,0.01855471501829936,0.030265701336580603,8.158642029156908
8,N6_th1.20_archrbm_h48_s11,rbm,6,1.2,48,11,6,0.8348560359730965,0.03865684651974207,0.8285714285714287,0.04156268221574334,-0.37455147219412854,0.46444548099181027,0.9356298212248021,0.006081920314465126,0.9903050054784353,0.00014053374774346985,0.9411972310108428,0.005084985364091218,0.43854896009435257,0.9976101297956069,-0.9735817351504001,0.6643438499485933,0.8751219251066895,1.0,0.9725972065350558,0.9999988455967457,0.7364912974610408,0.9971008766222942,0.016611295681063124,0.42857142857142855,0.009966777408637873,0.009966777408637873,0.013289036544850499,0.040640294225785,0.036790377499358665,8.08925966382958
9,N6_th1.20_archrbm_h48_s17,rbm,6,1.2,48,17,6,0.6930678403024524,0.12685339318669397,0.7142857142857143,0.1107871720116617,-0.5242362358590662,0.28568189912845254,0.8657697442570881,0.025817377964368723,0.9905383549360577,0.00013386057483852264,0.8993047166616001,0.014698808198930277,-0.3853006534916073,0.998111660196878,-0.9801742979742678,0.7805507425218755,0.24580497808522095,1.0,0.9697886519165628,0.9999946487262537,0.5837609349885945,0.9999999999999998,0.07973421926910298,0.3289036544850498,0.10963455149501661,0.009966777408637873,0.016611295681063124,0.01921513424782724,-0.03575280794065931,8.18834241013974
10,N6_th1.20_archrbm_h48_s23,rbm,6,1.2,48,23,6,0.6634899926365976,0.15080545173611393,0.7714285714285715,0.07239650145772594,0.038223745686017094,0.9426923049632725,0.6630375615980251,0.15118554887722616,0.9912369842427101,0.00011484920980327906,0.8906060958728114,0.017295979528585467,-0.6472964032261678,0.9837582672427737,-0.936612059948454,0.9423743148926046,-1.0,1.0,0.9595053460088347,0.9999834720812674,0.6020348974834406,0.9981028381445198,0.15614617940199335,0.9568106312292359,0.26578073089701,0.006644518272425249,0.019933554817275746,0.010813592806935769,0.05447591513067869,8.282309480942786
11,N6_th1.20_archrbm_h48_s29,rbm,6,1.2,48,29,6,0.853818632011256,0.03049161425367374,0.7142857142857143,0.1107871720116617,-0.1713616034917447,0.7454735942967696,0.8833402142463516,0.01962041741367115,0.9911422143216112,0.0001173430581282902,0.9488658557758224,0.0038552008168184666,0.4352039052259406,0.9909251417325285,-0.8779921229811529,0.9996049883932109,-0.9999999999999999,1.0,0.9705067786388417,0.9999857193924069,0.8752574472273352,0.9999958617695881,0.059800664451827246,0.7342192691029901,0.046511627906976744,0.006644518272425249,0.04318936877076412,0.0038401445160422777,0.014492821266390593,8.172938828123733
12,N6_th1.60_archrbm_h48_s11,rbm,6,1.6,48,11,6,0.9170352242856691,0.010039201349698278,0.942857142857143,0.004804664723032055,-0.1612226802210765,0.7602612902900571,0.9799882213420231,0.000596699856226088,0.9777292678534117,0.0007384552852928773,0.9567522438178275,0.0027651080036020614,0.7131791051658591,0.9962626703612455,-0.9733068107446664,0.9532970940388918,0.9672881088666687,1.0,0.8951537890418954,0.9998669059617035,0.9020057356530508,0.995710868921339,0.006644518272425249,0.7940199335548173,0.0033222591362126247,0.013289036544850499,0.006644518272425249,0.01045609823893836,0.03806128995882611,8.189178492873907
13,N6_th1.60_archrbm_h48_s17,rbm,6,1.6,48,17,6,0.8578684594152526,0.028866435980303147,0.7142857142857143,0.1107871720116617,-0.3014912258331245,0.5614654790853634,0.9803993447006606,0.0005725133866229603,0.978574309194008,0.0006836724985336462,0.9217386791161831,0.008947582706644565,0.21608250872455273,0.9998869382943885,-0.986416756689408,0.6597264385939201,-0.9999999999999999,1.0,0.9374562132093617,0.9994180319422182,0.5526324170696779,0.9999999999999998,0.019933554817275746,0.6245847176079734,0.019933554817275746,0.009966777408637873,0.023255813953488372,0.04607604868417395,-0.03328564885254605,8.16602069302462
