snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,1.0084901620272664,1.965206699371338,1.9557725191116333,0.8172169465099215,0.4305538610393258,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.22807231345757034
18,1.2,1.0084901620272682,1.9601834917068481,1.9220199584960938,0.8175090721630704,0.42831065343770286,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.22807231345756954
36,2.4,1.0084901620272673,1.9388228702545165,1.9630221128463745,0.818424699007222,0.4233835853410398,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.2280723134575699
54,3.6,1.0084901620272673,2.019730815887451,1.9494280815124512,0.81747411926685,0.4441197404935026,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.22807231345757017
72,4.8,1.0084901620272673,1.930617847442627,1.999962568283081,0.8170328324837045,0.4252205882184769,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.22807231345757004
90,6.0,1.0084901620272664,1.9543980503082274,2.0032036304473877,0.8173038421169074,0.42802992829510067,3.0,N6_th0.00_archrbm_h48_s11,rbm,6,0.0,48,11,0.2280723134575699
0,0.0,1.0084901620272664,1.9721355438232422,1.8779973983764648,0.8168105081184411,0.43251621090959436,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.22807231345757034
18,1.2,1.0084901620272682,1.991063380241394,2.0449538230895996,0.8173628971304014,0.4374158672753455,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.22807231345756954
36,2.4,1.0084901620272673,2.020544843673706,1.987958312034607,0.817289352747043,0.442503742280988,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.2280723134575699
54,3.6,1.0084901620272673,2.0337777614593504,1.9392788410186768,0.8172368498892582,0.44303486770953965,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.22807231345757017
72,4.8,1.0084901620272673,1.9568526935577393,2.103748083114624,0.8169540788197865,0.4319917277258271,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.22807231345757004
