run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.41156048583798
1,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.899596852948889
2,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.993133243871853
3,N6_th0.00_archgru_h48_s19,gru,6,0.0,48,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.072582456981763
4,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.045166311087087
5,N6_th0.00_archgru_h48_s29,gru,6,0.0,48,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.066143886884674
6,N6_th0.00_archgru_h48_s31,gru,6,0.0,48,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0200013080611825
7,N6_th0.00_archgru_h48_s37,gru,6,0.0,48,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.077207827009261
8,N6_th0.80_archgru_h48_s11,gru,6,0.8,48,11,5,0.7404107232541776,0.15243514168023375,0.7,0.1881204043741873,0.04750245919775279,0.9395407442931291,0.8161644255586746,0.09196538173752739,0.8852465969751083,0.04585237996063533,0.6919169547902309,0.19551057961363302,-0.9999999999999998,1.0,-1.0,1.0,-1.0,1.0,0.6422345673174389,1.0,-0.4917482848055169,1.0,0.13953488372093023,0.9269102990033222,0.12624584717607973,0.05647840531561462,0.18272425249169436,0.019511163163166513,0.011281497609879907,8.041315166046843
9,N6_th0.80_archgru_h48_s13,gru,6,0.8,48,13,5,0.9098339536883365,0.03205794824109728,0.8999999999999998,0.03738607346849874,0.3268437193784479,0.5913824954990008,0.9071420550396916,0.03349029527954637,-0.05224127922360933,0.9335146050400285,-0.25380528180182416,0.6803488503093186,0.7654464562843215,1.0,-0.9564724174523443,0.9895956160219984,-1.0,1.0,-0.9999999999999999,0.9999999999999999,-1.0,1.0,0.046511627906976744,0.6046511627906976,0.12292358803986711,0.8239202657807309,0.6578073089700996,-0.0873000839175223,0.04708992122397761,7.807178207905963
10,N6_th0.80_archgru_h48_s17,gru,6,0.8,48,17,5,0.7253268410343283,0.16550133848784893,0.8999999999999998,0.03738607346849874,-0.24497970805133923,0.6912308162451846,0.9855347879201678,0.0020838981747895017,-0.7095501037513796,0.17949415993177184,-0.2630793249581161,0.6689419782125147,-0.2559021179149545,1.0,-0.9999999999999997,0.9999999999999999,0.967541992861351,1.0,-1.0,0.15367592797408972,-1.0,0.9905111604764674,0.12624584717607973,0.6611295681063123,0.036544850498338874,0.19269102990033224,0.6943521594684385,0.01644797067000898,-0.0030164138202700558,7.723793395096436
11,N6_th0.80_archgru_h48_s19,gru,6,0.8,48,19,5,0.5816812146982437,0.3035740521870654,0.19999999999999998,0.747060078104662,0.7357411300053991,0.15644666524197026,0.3907457126340524,0.5154543815729067,-0.4044163039361651,0.49948344186871296,-0.496849954903266,0.39447927767214036,-1.0,1.0,0.4648381182849716,0.9999999999999999,-1.0,1.0,-0.9999999999999998,1.0,-1.0,0.9999999999999998,0.27906976744186046,0.15946843853820597,0.5780730897009967,0.45514950166112955,0.46511627906976744,0.06132209108765037,0.1120738355426216,7.846363057848066
12,N6_th0.80_archgru_h48_s23,gru,6,0.8,48,23,5,0.5470143735605403,0.34000866588729867,0.39999999999999997,0.5046315754686911,-0.03412157057290693,0.9565634988468693,0.6399195684981583,0.24488326185618123,-0.9399940738368506,0.017485455598826586,-0.6254353725141442,0.25916456830687745,-0.9722737755461894,0.9999999999999999,-1.0,1.0,-1.0,1.0,-1.0,-0.3896668867930733,-1.0,0.9999999999999998,0.3853820598006645,0.9501661129568106,0.34219269102990035,0.046511627906976744,0.21926910299003322,-0.09029498166221445,0.02996911598815277,7.861456091981381
13,N6_th0.80_archgru_h48_s29,gru,6,0.8,48,29,5,0.7307681787867991,0.16075194955583566,0.7999999999999999,0.10408803866182788,0.2113550693905887,0.7329115463304309,0.7326726253924732,0.15909918372487747,-0.43230043626616593,0.4672380760701148,-0.5608559898786049,0.3253361312134461,0.44398761977512446,1.0,-1.0,0.9999999999999999,0.5130043694104319,1.0,-1.0,1.0,-1.0,0.9521169482355394,0.16279069767441862,0.7774086378737541,0.22259136212624583,0.4418604651162791,0.3122923588039867,0.05920154266786935,0.12956360518777973,7.824799620080739
14,N6_th0.80_archgru_h48_s31,gru,6,0.8,48,31,5,0.3571887835252564,0.5550777599366835,0.09999999999999999,0.8728885715695383,0.33763208251367505,0.5784266789774967,0.23790538938969824,0.6999716179632269,-0.3794501689095134,0.5287270208803384,-0.7267505213846979,0.16425483834754065,-1.0,1.0,-0.9999999999999997,0.9999999999999998,-1.0,1.0,-0.9999999999999999,0.9999999999999998,-1.0,0.9999999999999996,0.5647840531561462,0.5647840531561462,0.8239202657807309,0.5946843853820598,0.21926910299003322,-0.02096771054347801,-0.05425999270479691,7.782336337957531
