snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,1.0084901620272664,1.1929020595550537,1.1918561458587646,0.041065186489515876,0.04469499946871075,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.22807231345757034
22,1.4666666666666666,1.0084901620272655,1.199304633140564,1.1753641366958618,0.046132535769507536,0.0447786404093114,7.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.2280723134575696
45,3.0,1.0084901620272655,1.1805110216140746,1.1917208433151245,0.04375375357439602,0.05115172474595331,7.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.22807231345757015
67,4.466666666666667,1.0084901620272655,1.2255406665802002,1.17891526222229,0.03690843431394659,0.03537634209980813,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.2280723134575699
90,6.0,1.0084901620272664,1.176653003692627,1.221917986869812,0.046491441958778815,0.04197921798465292,7.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.2280723134575699
0,0.0,1.0084901620272664,1.1805110216140746,1.1917208433151245,0.043753753574396245,0.051151724745953295,7.0,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,0.22807231345757034
22,1.4666666666666666,1.0084901620272655,1.2255406665802002,1.17891526222229,0.03690843431394666,0.035376342099808195,6.0,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,0.2280723134575696
45,3.0,1.0084901620272655,1.176653003692627,1.221917986869812,0.046491441958778766,0.0419792179846529,7.0,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,0.22807231345757015
67,4.466666666666667,1.0084901620272655,1.192279486656189,1.2258501052856445,0.04797829896719189,0.05634153339273411,7.0,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,0.2280723134575699
90,6.0,1.0084901620272664,1.1973145818710327,1.1521509885787964,0.044131214312366746,0.05357851982728567,7.0,N6_th0.00_archgru_h48_s13,gru,6,0.0,48,13,0.2280723134575699
