run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25331977708265
1,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.245463956147432
2,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.712752240011469
3,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.000688027124852
4,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.039058062946424
5,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.124840079806745
6,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042486032005399466
7,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041601068107411265
8,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04316262900829315
9,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,8,-0.22537837567963923,0.5915077116982415,-0.3333333333333334,0.4197530864197531,-0.5560119221386759,0.1524135344263365,0.5143680264578057,0.19216866533900173,-0.871238864646937,0.0048348428360802395,-0.8750923296675155,0.00442698981184272,-0.8789066471602714,0.4990906290991404,-0.9357837522018418,0.09120141348607692,-0.8755213261827669,0.9840438601362034,-0.9907806054747277,-0.5530369505609146,-0.988836652016039,-0.6189765736844471,0.5685785536159601,0.1546134663341646,0.2593516209476309,0.007481296758104738,0.004987531172069825,0.02964595907588417,-0.0848183744684194,12.937396798050031
10,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,8,-0.10023875496124914,0.8133075141713606,-0.38095238095238104,0.35181255311756476,-0.3732863925666044,0.36238849186319444,0.4086148816185276,0.3148564354497147,-0.23486614220170418,0.5755526226932002,-0.2341952016990605,0.5766760490459,-0.6498745811581372,0.4703532255802437,-0.7688717798811452,0.11436625688777445,-0.9416356870180771,0.9792927001473216,-0.8308400762767116,0.6674371392086712,-0.8362317686489459,0.5572000823982789,0.8453865336658354,0.3940149625935162,0.3092269326683292,0.5885286783042394,0.5511221945137157,-0.060316964717292906,-0.06833411515360163,14.996754945022985
11,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,8,-0.44860114806623613,0.26490722469701,-0.5476190476190477,0.1600256425388966,-0.5219535744832297,0.18455793166374831,-0.030329423346476255,0.943167195658388,0.14923090052697813,0.7243184969349162,0.16352546170434112,0.6988118668800671,-0.9518261496504826,0.054642291378992895,-0.9581987503257153,0.04642193878119218,-0.9184705665129379,0.9727041991244202,-0.5680229324642297,0.8819546778365409,-0.8377121028648057,0.9487774517248408,0.23940149625935161,0.22194513715710723,0.9476309226932669,0.7805486284289277,0.7231920199501247,0.07952726083990624,-0.013936643381752687,12.776121400063857
12,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,8,0.13102019566106166,0.7571340682885594,-0.023809523809523815,0.9553740118158807,-0.31877849324711893,0.4415485967366803,0.753465640045116,0.030875462772059853,0.11745332596179668,0.781792009077723,0.05839927025736361,0.8907500750913211,-0.6634276032614418,0.7598204074192209,-0.9124550957195757,0.7506316228239095,-0.9620814021953148,0.9950691786234586,-0.6022123776791327,0.6708190774162194,-0.7374952881556001,0.5727323214638607,0.7855361596009975,0.4837905236907731,0.11221945137157108,0.8029925187032418,0.8877805486284289,0.048003215039211046,-0.10077617164811287,11.105211882153526
13,N10_th1.20_archrbm_h32_s17,rbm,10,1.2,32,17,8,0.07777891313513667,0.85475163062553,-0.19047619047619052,0.6514014957024814,0.07170555801066464,0.866012227275286,0.03274733845325198,0.938642623600843,0.11382768137860381,0.7884094762552273,0.3544177943765244,0.3890184831916904,-0.809738995285086,0.7934495856047925,-0.6039614677029379,0.8140925544537896,-0.9954378512972046,0.7856969970194281,-0.6001434125038967,0.8479775999995666,-0.281836459901958,0.8058494303349836,0.8254364089775561,0.8528678304239401,0.9301745635910225,0.8129675810473815,0.428927680798005,-0.057876201821615354,-0.0590840607296729,11.184361704159528
