snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,1.7845789573647233,2.2066039848327637,2.214925527572632,0.19192273820371655,0.1598389800229837,9.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.2260498882626132
1,0.2,1.7845789573647233,2.15323073387146,2.1220555305480957,0.12544828478154518,0.11033862832285052,8.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.2260498882626132
2,0.4,1.7845789573647233,2.207110481262207,2.1966512203216553,0.1413909978151391,0.1262247137425283,10.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.22604988826261294
4,0.8,1.7845789573647215,2.243739728927612,2.129204511642456,0.15049440124230437,0.13327753587800373,10.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.22604988826261296
5,1.0,1.7845789573647215,2.1837119674682617,2.139115571975708,0.16198915950336926,0.13995276547916807,9.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.226049888262613
7,1.4000000000000001,1.7845789573647215,2.225558948516846,2.2522201538085938,0.18795563003098828,0.15509370891186114,10.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.22604988826261274
8,1.6,1.7845789573647233,2.1657472372055055,2.2067387104034424,0.16546080099655258,0.13803850227447226,9.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.22604988826261274
10,2.0,1.7845789573647233,2.216194076538086,2.2443084716796875,0.12526003504410751,0.11322470532099692,11.0,N10_th0.00_archgru_h32_s11,gru,10,0.0,32,11,0.22604988826261263
0,0.0,1.7845789573647233,2.1657472372055055,2.2067387104034424,0.16546080099655286,0.13803850227447237,9.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.2260498882626132
1,0.2,1.7845789573647233,2.216194076538086,2.2443084716796875,0.1252600350441075,0.11322470532099689,11.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.2260498882626132
2,0.4,1.7845789573647233,2.2193258571624757,2.1974563598632812,0.12992873933670038,0.11888045394597044,10.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.22604988826261294
4,0.8,1.7845789573647215,2.2250139999389646,2.15531325340271,0.14566858501856944,0.12987744741066215,9.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.22604988826261296
5,1.0,1.7845789573647215,2.1429487609863282,2.279895305633545,0.12304206637751437,0.10642677114253059,11.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.226049888262613
7,1.4000000000000001,1.7845789573647215,2.1882855033874513,2.1364152431488037,0.13663475892819407,0.12371727421378095,8.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.22604988826261274
8,1.6,1.7845789573647233,2.207373900413513,2.123579740524292,0.17244801371834978,0.148009972843875,10.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.22604988826261274
10,2.0,1.7845789573647233,2.2071306800842283,2.1522650718688965,0.14994001584992347,0.13774624946399908,10.0,N10_th0.00_archgru_h32_s17,gru,10,0.0,32,17,0.22604988826261263
0,0.0,1.7845789573647233,2.207373900413513,2.123579740524292,0.17244801371835006,0.14800997284387507,10.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.2260498882626132
1,0.2,1.7845789573647233,2.2071306800842283,2.1522650718688965,0.14994001584992345,0.13774624946399916,10.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.2260498882626132
2,0.4,1.7845789573647233,2.188080759048462,2.091348648071289,0.1192476573911985,0.10893469771508943,10.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.22604988826261294
4,0.8,1.7845789573647215,2.233086338043213,2.319209337234497,0.19158054956532242,0.16132488343809945,11.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.22604988826261296
5,1.0,1.7845789573647215,2.162708740234375,2.3408823013305664,0.1586461505914015,0.13699859876775639,11.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.226049888262613
7,1.4000000000000001,1.7845789573647215,2.1404225730896,2.2557663917541504,0.1076219187663219,0.09385778390567409,10.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.22604988826261274
8,1.6,1.7845789573647233,2.1669617652893067,2.1342320442199707,0.1219526581502858,0.10766576079243685,10.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.22604988826261274
10,2.0,1.7845789573647233,2.1961820793151854,2.1568448543548584,0.13785585607549244,0.12152092254785406,8.0,N10_th0.00_archgru_h32_s23,gru,10,0.0,32,23,0.22604988826261263
0,0.0,1.7845789573647233,3.3634845066070556,3.363908052444458,1.3693284289011731,0.6131105889471886,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.2260498882626132
1,0.2,1.7845789573647233,3.381545829772949,3.3404552936553955,1.3695911348451273,0.6138880665848707,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.2260498882626132
2,0.4,1.7845789573647233,3.436729564666748,3.444406747817993,1.3696246743964298,0.6259092741490968,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.22604988826261294
4,0.8,1.7845789573647215,3.46342622756958,3.307617425918579,1.3696982638374233,0.6274512980551882,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.22604988826261296
5,1.0,1.7845789573647215,3.3733631706237794,3.302496910095215,1.3689687103385888,0.6140915779180831,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.370780391693115,3.428431272506714,1.3697666821784333,0.6146450313720047,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.22604988826261274
8,1.6,1.7845789573647233,3.334219036102295,3.4122869968414307,1.369619560067596,0.6109188434306904,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.22604988826261274
10,2.0,1.7845789573647233,3.4757979011535642,3.5333898067474365,1.3696260629437775,0.6296548082423125,6.0,N10_th0.00_archrbm_h32_s11,rbm,10,0.0,32,11,0.22604988826261263
0,0.0,1.7845789573647233,3.334219036102295,3.4122869968414307,1.3696195600675964,0.6109188434306905,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.2260498882626132
1,0.2,1.7845789573647233,3.4757979011535642,3.5333898067474365,1.3696260629437773,0.6296548082423125,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.2260498882626132
2,0.4,1.7845789573647233,3.472158203125,3.426464080810547,1.3693944324965377,0.6303358416118676,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.22604988826261294
4,0.8,1.7845789573647215,3.4658468627929686,3.3602192401885986,1.3699540019669103,0.6298551565002585,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.22604988826261296
5,1.0,1.7845789573647215,3.3676318740844726,3.5852928161621094,1.369127132048316,0.6114622724990143,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.419176778793335,3.3422601222991943,1.3712256402078111,0.6216008136528898,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.22604988826261274
8,1.6,1.7845789573647233,3.3947173881530763,3.265897035598755,1.3701208606095978,0.6178731149891307,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.22604988826261274
10,2.0,1.7845789573647233,3.431017360687256,3.357177257537842,1.3696340854016915,0.6245026349641726,6.0,N10_th0.00_archrbm_h32_s17,rbm,10,0.0,32,17,0.22604988826261263
0,0.0,1.7845789573647233,3.3947173881530763,3.265897035598755,1.370120860609598,0.6178731149891308,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.2260498882626132
1,0.2,1.7845789573647233,3.431017360687256,3.357177257537842,1.3696340854016917,0.6245026349641726,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.2260498882626132
2,0.4,1.7845789573647233,3.4415601539611815,3.2864291667938232,1.3702169039044443,0.6250609087539721,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.22604988826261294
4,0.8,1.7845789573647215,3.3767292499542236,3.535592794418335,1.370288727616141,0.6168460300688918,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.22604988826261296
5,1.0,1.7845789573647215,3.3379242515563963,3.6288745403289795,1.3706430458217853,0.6089518142380993,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.3819003295898438,3.558208465576172,1.3698874835020523,0.6150103112758055,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.22604988826261274
8,1.6,1.7845789573647233,3.404141082763672,3.3628170490264893,1.36997735230275,0.6187602740802021,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.22604988826261274
10,2.0,1.7845789573647233,3.4128470993041993,3.383706569671631,1.369204771211764,0.6188090129629913,6.0,N10_th0.00_archrbm_h32_s23,rbm,10,0.0,32,23,0.22604988826261263
0,0.0,1.7845789573647233,3.3980594569652625,3.3964130252647835,1.4024492533156552,0.6327356989246115,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.2260498882626132
1,0.2,1.7845789573647233,3.4149592141308602,3.3733730474939487,1.4025842502001635,0.6351706511676134,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.2260498882626132
2,0.4,1.7845789573647233,3.4734164537205676,3.479780123651153,1.4027889878532789,0.6441777619730885,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.22604988826261294
4,0.8,1.7845789573647215,3.4955193662600323,3.340400399659357,1.4028278233318772,0.6470242971631808,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.22604988826261296
5,1.0,1.7845789573647215,3.4061370737849903,3.3297742344801593,1.4020274943690327,0.6339543961394444,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.400713447920509,3.4646808215781295,1.4027329637720427,0.6337317046164875,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.22604988826261274
8,1.6,1.7845789573647233,3.362800571147931,3.448885663989566,1.4031132533487576,0.6277684987658336,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.22604988826261274
10,2.0,1.7845789573647233,3.5075862869556125,3.5640918730027504,1.4025942758874974,0.6487978314380386,1.0,N10_th0.00_archindependent_h0_s11,independent,10,0.0,0,11,0.22604988826261263
0,0.0,1.7845789573647233,3.362800571147931,3.448885663989566,1.403113253348758,0.6277684987658336,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.2260498882626132
1,0.2,1.7845789573647233,3.5075862869556125,3.5640918730027504,1.4025942758874972,0.6487978314380386,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.2260498882626132
2,0.4,1.7845789573647233,3.505583966406001,3.4567166421270055,1.4024662269209958,0.6483118543478089,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.22604988826261294
4,0.8,1.7845789573647215,3.498536321355476,3.387110152439401,1.402886896524485,0.6473058452664673,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.22604988826261296
5,1.0,1.7845789573647215,3.4004092642921977,3.6190024611354024,1.402031774995081,0.6333216768484613,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.4537930583396146,3.368409693103921,1.404712428148288,0.6412926320766118,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.22604988826261274
8,1.6,1.7845789573647233,3.4318090638792182,3.300517113587185,1.4031368751229298,0.6379005159273525,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.22604988826261274
10,2.0,1.7845789573647233,3.463818487963256,3.3869654188318274,1.4027282909732133,0.6423958135231798,1.0,N10_th0.00_archindependent_h0_s17,independent,10,0.0,0,17,0.22604988826261263
0,0.0,1.7845789573647233,3.4318090638792182,3.300517113587185,1.40313687512293,0.6379005159273525,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.2260498882626132
1,0.2,1.7845789573647233,3.463818487963256,3.3869654188318274,1.402728290973213,0.6423958135231796,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.2260498882626132
2,0.4,1.7845789573647233,3.47152657082176,3.3220402612271527,1.4032529511093241,0.6437389714774031,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.22604988826261294
4,0.8,1.7845789573647215,3.4079910380419447,3.562306663276423,1.4033677135068376,0.634531256758027,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.22604988826261296
5,1.0,1.7845789573647215,3.371624637044095,3.6690331717320612,1.4036685342990127,0.6294137031168275,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.226049888262613
7,1.4000000000000001,1.7845789573647215,3.413750700699787,3.5858793864333025,1.4027746176762987,0.6353087115622488,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.22604988826261274
8,1.6,1.7845789573647233,3.438526101883556,3.399206708427193,1.4030518029680041,0.6390087768791245,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.22604988826261274
10,2.0,1.7845789573647233,3.447393870581783,3.418548505848088,1.402375266695791,0.6405878129338658,1.0,N10_th0.00_archindependent_h0_s23,independent,10,0.0,0,23,0.22604988826261263
0,0.0,1.784578957364741,2.2066039848327637,2.214925527572632,0.19192273820371625,0.15983898002298363,9.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.2260498882626132
1,0.2,1.7836532216166736,2.1571766185760497,2.0983824729919434,0.12321453593435372,0.1081077463785464,8.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.22376514842040143
2,0.4,1.7800060487606304,2.1976248168945314,2.119718074798584,0.1382248934305198,0.12221378245543468,9.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.21720164289777505
4,0.8,1.7585342144945768,2.2723934650421143,2.167904853820801,0.179748209456312,0.15881129497550622,10.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.19515772243152774
5,1.0,1.741850230539037,2.2027503776550295,2.2872314453125,0.21686271513494476,0.18059882016511908,10.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.18276277401709265
7,1.4000000000000001,1.7182762645238645,2.273908996582031,2.2331721782684326,0.23515023910592237,0.19801907400202431,9.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.1643308635647229
8,1.6,1.7224390640208087,2.2766271305084227,2.163647174835205,0.24399204642054562,0.1986871545347177,8.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.16121427338131145
10,2.0,1.7724566589726125,2.3185576725006105,2.3345658779144287,0.1758831177272004,0.15580882863904966,12.0,N10_th1.20_archgru_h32_s11,gru,10,1.2,32,11,0.16891646165969787
0,0.0,1.784578957364741,2.1657472372055055,2.2067387104034424,0.1654608009965527,0.13803850227447229,9.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.2260498882626132
1,0.2,1.7836532216166736,2.2101356887817385,2.2215776443481445,0.132308657372366,0.12658544265933386,11.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.22376514842040143
2,0.4,1.7800060487606304,2.209898338317871,2.1911041736602783,0.1306397850305036,0.11734760066093794,10.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.21720164289777505
4,0.8,1.7585342144945768,2.221104984283447,2.099902629852295,0.1591029805917726,0.14165043130703675,8.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.19515772243152774
5,1.0,1.741850230539037,2.104772548675537,2.290231466293335,0.12956893885518994,0.11110687954118427,11.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.18276277401709265
